--------------- DW_2000Q_6 ---------------
    0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29  energy num_oc. chain_b.
102  0  1  0  0  1  0  0  0  0  0  1  0  0  1  1  1  0  0  0  1  1  1  0  1  1  0  1  1  1  0  -244.0       1      0.0
103  0  1  0  1  1  1  0  0  1  0  1  0  1  1  1  0  0  0  0  1  1  0  0  0  1  0  0  1  1  0  -244.0       1      0.0
104  0  1  0  1  0  1  0  0  1  0  1  1  0  0  1  1  0  0  0  1  1  0  0  1  0  0  0  1  1  1  -244.0       1      0.0
105  0  1  1  1  1  0  0  0  0  1  0  0  1  1  1  0  0  0  0  1  1  0  0  1  1  0  0  1  1  0  -244.0       1      0.0
233  0  1  1  0  1  1  0  0  1  0  1  0  0  1  1  0  0  1  0  1  1  0  0  1  1  0  0  0  1  0  -244.0       1 0.033333
248  0  1  0  1  1  0  0  0  1  0  0  0  0  1  1  0  0  0  0  1  1  1  0  1  1  0  0  1  1  1  -244.0       1 0.033333
285  0  1  0  0  1  1  0  0  0  0  1  1  1  0  1  0  0  0  0  1  1  1  0  1  1  0  0  1  1  0  -244.0       1 0.033333
342  0  1  0  1  1  0  0  1  1  0  0  0  1  1  1  0  0  1  0  1  1  0  0  1  1  0  1  1  1  0  -244.0       1 0.033333
364  0  1  1  1  1  0  0  0  1  0  0  1  0  1  1  0  0  0  0  1  1  1  0  1  1  0  0  1  1  1  -244.0       1 0.033333
441  0  1  1  1  1  0  0  0  1  0  0  1  0  1  1  0  0  1  0  1  1  0  0  1  0  1  0  1  0  0  -244.0       1 0.066667
106  0  1  0  0  1  1  1  0  0  0  1  1  0  1  1  0  0  1  0  1  1  1  0  1  0  0  0  1  1  0 -243.25       1      0.0
107  0  1  0  0  1  0  0  0  1  0  1  1  1  1  1  0  0  0  0  1  1  0  0  1  1  0  1  1  1  0 -243.25       1      0.0
108  0  1  1  0  0  1  0  0  1  0  1  1  0  1  1  0  0  0  0  1  1  1  0  1  0  1  0  1  1  0 -243.25       1      0.0
109  0  1  0  0  1  0  0  0  0  0  1  1  1  1  0  0  0  0  0  1  1  1  1  1  1  0  1  1  1  0 -243.25       1      0.0
